state,year,festival_name,amount_sanctioned,amount_released
Uttar Pradesh,2023-24,Hathras Mahotsav,25.0,25.0
Tripura,2023-24,Diwali Festival,9.55,9.55
Meghalaya,2023-24,Nongkrem Dance Festival,25.0,25.0
Tripura,2023-24,Neermahal Festival,9.8,9.8
Nagaland,2023-24,"Cuisine and Music Festival at Naga Heritage Village, Kisama",25.0,25.0
Nagaland,2023-24,"Autumn Festival at Nagaland House, New Delhi",10.0,10.0
Tripura,2023-24,Chabimura Festival,3.0,3.0
Uttar Pradesh,2023-24,Firozabad Mahotsav,25.0,25.0
Goa,2022-23,Carnival Festival,25.0,25.0
Arunachal Pradesh,2022-23,Si Donyi Festival,25.0,25.0
Nagaland,2022-23,Sekrenyi Festival,5.0,5.0
Tripura,2022-23,Chabimura Festival,5.0,5.0
Tripura,2022-23,Diwali Festival,5.0,5.0
Nagaland,2022-23,Runa Festival,5.0,5.0
Kerala,2022-23,Sargalaya International Arts and Crafts Festival,25.0,25.0
Nagaland,2022-23,Autumn Festival at Nagaland House New Delhi,5.0,5.0
Tamil Nadu,2022-23,India Dance Festival at Mamallapuram,25.0,25.0
Meghalaya,2022-23,Wangala Dance,25.0,25.0
Himachal Pradesh,2022-23,International Shivratri festival,25.0,25.0
Uttar Pradesh,2022-23,Firozabad Mahotsav,25.0,25.0
Tripura,2022-23,Neermahal Festival,10.0,10.0
Nagaland,2022-23,Hornbill Festival,25.0,25.0
Meghalaya,2022-23,Nongkrem Dance Festival,25.0,25.0
Himachal Pradesh,2022-23,International Kullu Dussehra Festival,25.0,25.0
Nagaland,2022-23,Autumn Festival at Nagaland House Kolkata,5.0,5.0
Arunachal Pradesh,2022-23,Orange Festival,25.0,25.0
Mizoram,2022-23,Anthurium Festival,25.0,25.0
Uttarakhand,2022-23,International Yoga Festival,25.0,25.0
Haryana,2022-23,Surajkund International Crafts Mela,30.0,30.0
Chandigarh,2022-23,Chandigarh Carnival,15.0,15.0
Mizoram,2022-23,Winter Festival,25.0,25.0
Madhya Pradesh,2022-23,"Jal Mahotsav, Hanuwantia",25.0,25.0
Madhya Pradesh,2022-23,Khajuraho Dance Festival,15.0,15.0
